Credit: https://store.steampowered.com/charts/mostplayed/
1,Counter Strike,1458,1515,1520,1407,1472,1413,1416,1544,1509,1396
2,Dota 2,706,756,775,660,659,655,647,689,751,766,
3,PUBG,762,790,754,735,776,746,768,777,803,759
4,Banana,334,295,310,317,303,290,264,284,263,263
5,Rust,150,162,147,124,120,110,122,147,158,140
6,Throne and Liberty,112,125,133,105,102,111,106,102,110,112
7,Call of Duty,232,255,263,231,210,201,195,192,205,212
8,Apex Legends,190,202,200,179,178,179,165,176,189,180
9,Grand Theft Auto V,171,182,187,154,152,155,151,163,180,179
10,Stardew Valley,102,114,114,97,95,94,90,94,105,105
